"convocation","years","first_name","last_name","counter","x","y"
1,"1990-1994","Михайло","Швайка","1",2,21
1,"1990-1994","Ірина","Калинець","1",3,21
1,"1990-1994","Тарас","Стецьків","1",4,21
1,"1990-1994","Ігор","Гринів","1",5,21
1,"1990-1994","Михайло","Косів","1",6,21
1,"1990-1994","Ярослав","Кендзьор","1",7,21
1,"1990-1994","Іван","Макар","1",8,21
1,"1990-1994","Михайло","Маслов","1",9,21
1,"1990-1994","Степан","Павлюк","1",10,21
1,"1990-1994","Роман","Лубківський","1",1,22
1,"1990-1994","Максим","Виноградський","1",2,22
1,"1990-1994","Олександр","Мороз","1",3,22
1,"1990-1994","Анатолій","Кінах","1",4,22
1,"1990-1994","Олександр","Бердніков","1",5,22
1,"1990-1994","Володимир","Матвєєв","1",6,22
1,"1990-1994","Анатолій","Савченко","1",7,22
1,"1990-1994","Володимир","Толубко","1",8,22
1,"1990-1994","Олександр","Чебан","1",9,22
1,"1990-1994","Володимир","Шинкарук","1",10,22
1,"1990-1994","Василь","Рябоконь","1",1,23
1,"1990-1994","Іван","Грицай","1",2,23
1,"1990-1994","Михайло","Потебенько","1",3,23
1,"1990-1994","Михайло","Башкіров","1",4,23
1,"1990-1994","Едуард","Горін","1",5,23
1,"1990-1994","Юрій","Романов","1",6,23
1,"1990-1994","Юлій","Мазур","1",7,23
1,"1990-1994","Микола","Головенко","1",8,23
1,"1990-1994","Валентин","Симоненко","1",9,23
1,"1990-1994","Світлана","Остроущенко","1",10,23
1,"1990-1994","Сергій","Дорогунцов","1",1,24
1,"1990-1994","Леонід","Танюк","1",2,24
1,"1990-1994","Анатолій","Матвієнко","1",3,24
1,"1990-1994","Валерій","Хмельнюк","1",4,24
1,"1990-1994","Борис","Резнік","1",5,24
1,"1990-1994","Анатолій","Лобенко","1",6,24
1,"1990-1994","Павло","Гальцев","1",7,24
1,"1990-1994","Олександр","Дунтау","1",8,24
1,"1990-1994","Анатолій","Рибальченко","1",9,24
1,"1990-1994","Віктор","Пилипенко","1",10,24
1,"1990-1994","Віталій","Дудченко","1",1,25
1,"1990-1994","Іван","Македонський","1",2,25
1,"1990-1994","Андрій","Печеров","1",3,25
1,"1990-1994","Микола","Дідик","1",4,25
1,"1990-1994","Анатолій","Бутенко","1",5,25
1,"1990-1994","Іван","Поджаров","1",6,25
1,"1990-1994","Руслан","Боделан","1",7,25
1,"1990-1994","Микола","Снігірьов","1",8,25
1,"1990-1994","Олег","Савельєв","1",9,25
1,"1990-1994","Борис","Мельник","1",10,25
1,"1990-1994","Володимир","Стадниченко","1",1,26
1,"1990-1994","Євген","Васін","1",2,26
1,"1990-1994","Федір","Кіпаріс","1",3,26
1,"1990-1994","Владислав","Носов","1",4,26
1,"1990-1994","Володимир","Мартиненко","1",5,26
1,"1990-1994","Полікарп","Ткач","1",6,26
1,"1990-1994","Григорій","Подчос","1",7,26
1,"1990-1994","Вадим","Бойко","1",8,26
1,"1990-1994","Микола","Залудяк","1",9,26
1,"1990-1994","Віктор","Петров","1",10,26
1,"1990-1994","Леонід","Сватков","1",1,27
1,"1990-1994","Микола","Петренко","1",2,27
1,"1990-1994","Петро","Ківшик","1",3,27
1,"1990-1994","Іван","Гопей","1",4,27
1,"1990-1994","Микола","Шкарбан","1",5,27
1,"1990-1994","Борис","Передрій","1",6,27
1,"1990-1994","Василь","Бондаренко","1",7,27
1,"1990-1994","Віктор","Ситник","1",8,27
1,"1990-1994","Геннадій","Дубенков","1",9,27
1,"1990-1994","Василь","Степенко","1",10,27
1,"1990-1994","Анатолій","Ковінько","1",1,28
1,"1990-1994","Василь","Червоній","1",2,28
1,"1990-1994","Володимир","Пилипчук","1",3,28
1,"1990-1994","Василь","Білий","1",4,28
1,"1990-1994","Сергій","Каменчук","1",5,28
1,"1990-1994","Василь","Руденко","1",6,28
1,"1990-1994","Олександр","Костюк","1",7,28
1,"1990-1994","Валерій","Баталов","1",8,28
1,"1990-1994","Микола","Шершун","1",9,28
1,"1990-1994","Віталій","Хижняк","1",10,28
1,"1990-1994","Микола","Поровський","1",1,29
1,"1990-1994","Аркадій","Єршов","1",2,29
1,"1990-1994","Олександр","Піскун","1",3,29
1,"1990-1994","Олександр","Воробйов","1",4,29
1,"1990-1994","Володимир","Грабін","1",5,29
1,"1990-1994","Микола","Хоменко","1",6,29
1,"1990-1994","Роман","Рапій","1",7,29
1,"1990-1994","Володимир","Марченко","1",8,29
1,"1990-1994","Юрій","Сербін","1",9,29
1,"1990-1994","Валерій","Череп","1",10,29
1,"1990-1994","Іван","Гринчук","1",1,30
1,"1990-1994","Іван","Грищенко","1",2,30
1,"1990-1994","Анатолій","Бондаренко","1",3,30
1,"1990-1994","Олексій","Чернявський","1",4,30
1,"1990-1994","Ігор","Плосконос","1",5,30
1,"1990-1994","Володимир","Ананьєв","1",6,30
1,"1990-1994","Володимир","Колінець","1",7,30
1,"1990-1994","Леон","Горохівський","1",8,30
1,"1990-1994","Олександр","Шевченко","1",9,30
1,"1990-1994","Дмитро","Павличко","1",10,30
1,"1990-1994","Катерина","Завадська","1",1,31
1,"1990-1994","Іван","Попик","1",2,31
1,"1990-1994","Михайло","Мацялко","1",3,31
1,"1990-1994","Богдан","Бойко","1",4,31
1,"1990-1994","Лев","Крупа","1",5,31
1,"1990-1994","Марія","Гуменюк","1",6,31
1,"1990-1994","Мирослав","Мотюк","1",7,31
1,"1990-1994","Володимир","Московка","1",8,31
1,"1990-1994","Валерій","Мещеряков","1",9,31
1,"1990-1994","Андрій","Сухоруков","1",10,31
1,"1990-1994","Василь","Санін","1",1,32
1,"1990-1994","Володимир","Гриньов","1",2,32
1,"1990-1994","Микола","Мельник","1",3,32
1,"1990-1994","Генріх","Алтунян","1",4,32
1,"1990-1994","Геннадій","Левченко","1",5,32
1,"1990-1994","Іван","Валеня","1",6,32
1,"1990-1994","Юрій","Гайсинський","1",7,32
1,"1990-1994","Стефан","Батюшко","1",8,32
1,"1990-1994","Володимир","Щербина","1",9,32
1,"1990-1994","Євген","Кушнарьов","1",10,32
1,"1990-1994","Віктор","Бондаренко","1",1,33
1,"1990-1994","Олександр","Голобородько","1",2,33
1,"1990-1994","Анатолій","Гордієнко","1",3,33
1,"1990-1994","Анатолій","Савчук","1",4,33
1,"1990-1994","Анатолій","Чепурний","1",5,33
1,"1990-1994","Леонід","Корнієнко","1",6,33
1,"1990-1994","Борис","Качура","1",7,33
1,"1990-1994","Віталій","Казмірук","1",8,33
1,"1990-1994","Олександр","Тризна","1",9,33
1,"1990-1994","Владлен","Карасик","1",10,33
1,"1990-1994","Олексій","Колєснік","1",1,34
1,"1990-1994","Володимир","Даниленко","1",2,34
1,"1990-1994","Валентин","Коржик","1",3,34
1,"1990-1994","Володимир","Філенко","1",4,34
1,"1990-1994","Олександр","Бандурка","1",5,34
1,"1990-1994","Володимир","Усатенко","1",6,34
1,"1990-1994","Леонід","Кравчук","1",7,34
1,"1990-1994","Олександр","Пучко","1",8,34
1,"1990-1994","Микола","Ганжа","1",9,34
1,"1990-1994","Володимир","Стрельников","1",10,34
1,"1990-1994","Анатолій","Касьяненко","1",1,35
1,"1990-1994","Юрій","Уманець","1",2,35
1,"1990-1994","Борис","Марков","1",3,35
1,"1990-1994","Петро","Лебедик","1",4,35
1,"1990-1994","Павло","Пулінець","1",5,35
1,"1990-1994","Борис","Шариков","1",6,35
1,"1990-1994","Аркадій","Чумак","1",7,35
1,"1990-1994","Костянтин","Пискуновський","1",8,35
1,"1990-1994","Юрій","Збітнєв","1",9,35
1,"1990-1994","Ярослав","Дмитришин","1",10,35
1,"1990-1994","Володимир","Петін","1",1,36
1,"1990-1994","Вячеслав","Бичков","1",2,36
1,"1990-1994","Анатолій","Юрченко","1",3,36
1,"1990-1994","Іван","Бокша","1",4,36
1,"1990-1994","Анатолій","Ткачук","1",5,36
1,"1990-1994","Микола","Науменко","1",6,36
1,"1990-1994","Сергій","Тимчук","1",7,36
1,"1990-1994","Ганна","Архіпова","1",8,36
1,"1990-1994","Тарас","Нагулко","1",9,36
1,"1990-1994","Микола","Ярчук","1",10,36
1,"1990-1994","Василь","Скальський","1",1,37
1,"1990-1994","Володимир","Поворозник","1",2,37
