"convocation","gender","last_name","first_name","year","label","years","start","age_at_start","full_name"
1,1,"Кендзьор","Ярослав",1941,9,"1990-1994","1990",49,"Ярослав Кендзьор"
1,1,"Лубківський","Роман",1941,10,"1990-1994","1990",49,"Роман Лубківський"
1,1,"Мельник","Борис",1941,11,"1990-1994","1990",49,"Борис Мельник"
1,1,"Залудяк","Микола",1941,12,"1990-1994","1990",49,"Микола Залудяк"
1,1,"Каменчук","Сергій",1941,13,"1990-1994","1990",49,"Сергій Каменчук"
1,1,"Череп","Валерій",1941,14,"1990-1994","1990",49,"Валерій Череп"
1,1,"Чепурний","Анатолій",1941,15,"1990-1994","1990",49,"Анатолій Чепурний"
1,1,"Бичков","Вячеслав",1941,16,"1990-1994","1990",49,"Вячеслав Бичков"
1,1,"Фесун","Никанор",1941,17,"1990-1994","1990",49,"Никанор Фесун"
1,1,"Бабій","Дмитро",1941,18,"1990-1994","1990",49,"Дмитро Бабій"
1,1,"Дорофєєв","Володимир",1941,19,"1990-1994","1990",49,"Володимир Дорофєєв"
1,1,"Павлов","Володимир",1941,20,"1990-1994","1990",49,"Володимир Павлов"
1,1,"Рябченко","Микола",1941,21,"1990-1994","1990",49,"Микола Рябченко"
1,1,"Хомич","Дмитро",1941,22,"1990-1994","1990",49,"Дмитро Хомич"
1,2,"Бойко","Катерина",1942,1,"1990-1994","1990",48,"Катерина Бойко"
1,1,"Мазур","Володимир",1942,2,"1990-1994","1990",48,"Володимир Мазур"
1,1,"Сівцов","Микола",1942,3,"1990-1994","1990",48,"Микола Сівцов"
1,1,"Дорошенко","Іван",1942,4,"1990-1994","1990",48,"Іван Дорошенко"
1,1,"Куцай","Іван",1942,5,"1990-1994","1990",48,"Іван Куцай"
1,1,"Ступніков","Юрій",1942,6,"1990-1994","1990",48,"Юрій Ступніков"
1,1,"Головенко","Микола",1942,7,"1990-1994","1990",48,"Микола Головенко"
1,1,"Македонський","Іван",1942,8,"1990-1994","1990",48,"Іван Македонський"
1,1,"Боделан","Руслан",1942,9,"1990-1994","1990",48,"Руслан Боделан"
1,1,"Ківшик","Петро",1942,10,"1990-1994","1990",48,"Петро Ківшик"
1,1,"Чернявський","Олексій",1942,11,"1990-1994","1990",48,"Олексій Чернявський"
1,1,"Сухоруков","Андрій",1942,12,"1990-1994","1990",48,"Андрій Сухоруков"
1,1,"Казмірук","Віталій",1942,13,"1990-1994","1990",48,"Віталій Казмірук"
1,1,"Касьяненко","Анатолій",1942,14,"1990-1994","1990",48,"Анатолій Касьяненко"
1,1,"Хананов","Едуард",1942,15,"1990-1994","1990",48,"Едуард Хананов"
1,1,"Салій","Іван",1943,1,"1990-1994","1990",47,"Іван Салій"
1,1,"Мокроусов","Анатолій",1943,2,"1990-1994","1990",47,"Анатолій Мокроусов"
1,1,"Гоменюк","Іван",1943,3,"1990-1994","1990",47,"Іван Гоменюк"
1,1,"Тарасенко","Олександр",1943,4,"1990-1994","1990",47,"Олександр Тарасенко"
1,1,"Мокін","Борис",1943,5,"1990-1994","1990",47,"Борис Мокін"
1,1,"Мусієнко","Іван",1943,6,"1990-1994","1990",47,"Іван Мусієнко"
1,1,"Севастьянов","Володимир",1943,7,"1990-1994","1990",47,"Володимир Севастьянов"
1,1,"Матвєєв","Володимир",1943,8,"1990-1994","1990",47,"Володимир Матвєєв"
1,1,"Подчос","Григорій",1943,9,"1990-1994","1990",47,"Григорій Подчос"
1,1,"Горохівський","Леон",1943,10,"1990-1994","1990",47,"Леон Горохівський"
1,1,"Мельник","Микола",1943,11,"1990-1994","1990",47,"Микола Мельник"
1,1,"Білоблоцький","Микола",1943,12,"1990-1994","1990",47,"Микола Білоблоцький"
1,1,"Мисник","Павло",1943,13,"1990-1994","1990",47,"Павло Мисник"
1,1,"Парасунько","Михайло",1943,14,"1990-1994","1990",47,"Михайло Парасунько"
1,1,"Фоменко","Геннадій",1943,15,"1990-1994","1990",47,"Геннадій Фоменко"
1,1,"Бондаренко","Віктор",1943,16,"1990-1994","1990",47,"Віктор Бондаренко"
1,1,"Шульга","Микола",1943,17,"1990-1994","1990",47,"Микола Шульга"
1,1,"Чорнокур","Володимир",1943,18,"1990-1994","1990",47,"Володимир Чорнокур"
1,1,"Сухий","Василь",1944,1,"1990-1994","1990",46,"Василь Сухий"
1,1,"Гребенченко","Леонід",1944,2,"1990-1994","1990",46,"Леонід Гребенченко"
1,1,"Хотлубєй","Юрій",1944,3,"1990-1994","1990",46,"Юрій Хотлубєй"
1,1,"Новіков","Володимир",1944,4,"1990-1994","1990",46,"Володимир Новіков"
1,1,"Кисельов","Анатолій",1944,5,"1990-1994","1990",46,"Анатолій Кисельов"
1,1,"Шевченко","Володимир",1944,6,"1990-1994","1990",46,"Володимир Шевченко"
1,1,"Пушик","Степан",1944,7,"1990-1994","1990",46,"Степан Пушик"
1,1,"Ніколаєнко","Іван",1944,8,"1990-1994","1990",46,"Іван Ніколаєнко"
1,1,"Мороз","Олександр",1944,9,"1990-1994","1990",46,"Олександр Мороз"
1,1,"Кузьменко","Микола",1944,10,"1990-1994","1990",46,"Микола Кузьменко"
1,1,"Передрій","Борис",1944,11,"1990-1994","1990",46,"Борис Передрій"
1,1,"Гринчук","Іван",1944,12,"1990-1994","1990",46,"Іван Гринчук"
1,1,"Крупа","Лев",1944,13,"1990-1994","1990",46,"Лев Крупа"
1,1,"Бідений","Василь",1944,14,"1990-1994","1990",46,"Василь Бідений"
1,1,"Приходько","Віктор",1944,15,"1990-1994","1990",46,"Віктор Приходько"
1,1,"Слободенюк","Володимир",1944,16,"1990-1994","1990",46,"Володимир Слободенюк"
1,1,"Тризна","Валентин",1945,1,"1990-1994","1990",45,"Валентин Тризна"
1,1,"Черненко","Віталій",1945,2,"1990-1994","1990",45,"Віталій Черненко"
