"convocation","gender","last_name","first_name","year","years","start","age_at_start","full_name","label"
1,1,"Єліашевич","Ігор",1939,"1990-1994","1990",51,"Ігор Єліашевич",7
1,1,"Мовчан","Павло",1939,"1990-1994","1990",51,"Павло Мовчан",8
1,1,"Сінько","Василь",1939,"1990-1994","1990",51,"Василь Сінько",9
1,1,"Швець","Валентин",1939,"1990-1994","1990",51,"Валентин Швець",10
1,1,"Курашик","Віталій",1939,"1990-1994","1990",51,"Віталій Курашик",11
1,1,"Романов","Юрій",1939,"1990-1994","1990",51,"Юрій Романов",12
1,1,"Ситник","Віктор",1939,"1990-1994","1990",51,"Віктор Ситник",13
1,1,"Ковінько","Анатолій",1939,"1990-1994","1990",51,"Анатолій Ковінько",14
1,1,"Дмитришин","Ярослав",1939,"1990-1994","1990",51,"Ярослав Дмитришин",15
1,1,"Загородній","Григорій",1939,"1990-1994","1990",51,"Григорій Загородній",16
1,1,"Яковишин","Леонід",1939,"1990-1994","1990",51,"Леонід Яковишин",17
1,2,"Калинець","Ірина",1940,"1990-1994","1990",50,"Ірина Калинець",1
1,1,"Крижанівський","Володимир",1940,"1990-1994","1990",50,"Володимир Крижанівський",2
1,1,"Панасовський","Олег",1940,"1990-1994","1990",50,"Олег Панасовський",3
1,1,"Хунов","Анатолій",1940,"1990-1994","1990",50,"Анатолій Хунов",4
1,1,"Островський","Зіновій",1940,"1990-1994","1990",50,"Зіновій Островський",5
1,1,"Зайко","Яків",1940,"1990-1994","1990",50,"Яків Зайко",6
1,1,"Дупляк","Микола",1940,"1990-1994","1990",50,"Микола Дупляк",7
1,1,"Будько","Валентин",1940,"1990-1994","1990",50,"Валентин Будько",8
1,1,"Кельман","Дмитро",1940,"1990-1994","1990",50,"Дмитро Кельман",9
1,1,"Білий","Леонід",1940,"1990-1994","1990",50,"Леонід Білий",10
1,1,"Захарук","Дмитро",1940,"1990-1994","1990",50,"Дмитро Захарук",11
1,1,"Павленко","Фелікс",1940,"1990-1994","1990",50,"Фелікс Павленко",12
1,1,"Аптер","Яків",1940,"1990-1994","1990",50,"Яків Аптер",13
1,1,"Рябоконь","Василь",1940,"1990-1994","1990",50,"Василь Рябоконь",14
1,1,"Симоненко","Валентин",1940,"1990-1994","1990",50,"Валентин Симоненко",15
1,1,"Снігірьов","Микола",1940,"1990-1994","1990",50,"Микола Снігірьов",16
1,1,"Кіпаріс","Федір",1940,"1990-1994","1990",50,"Федір Кіпаріс",17
1,1,"Петренко","Микола",1940,"1990-1994","1990",50,"Микола Петренко",18
1,1,"Костюк","Олександр",1940,"1990-1994","1990",50,"Олександр Костюк",19
1,1,"Воєвода","Микола",1940,"1990-1994","1990",50,"Микола Воєвода",20
1,1,"Лисенко","Анатолій",1940,"1990-1994","1990",50,"Анатолій Лисенко",21
1,1,"Шевченко","Олесь",1940,"1990-1994","1990",50,"Олесь Шевченко",22
1,1,"Іоффе","Юлій",1940,"1990-1994","1990",50,"Юлій Іоффе",23
1,1,"Остапенко","Олександр",1940,"1990-1994","1990",50,"Олександр Остапенко",24
1,1,"Сальніченко","Віталій",1940,"1990-1994","1990",50,"Віталій Сальніченко",25
1,1,"Веретенніков","Віктор",1940,"1990-1994","1990",50,"Віктор Веретенніков",26
1,1,"Гнаткевич","Юрій",1940,"1990-1994","1990",50,"Юрій Гнаткевич",27
1,1,"Табурянський","Леопольд",1940,"1990-1994","1990",50,"Леопольд Табурянський",28
1,2,"Васильєва","Галина",1941,"1990-1994","1990",49,"Галина Васильєва",1
